"Time","AMD stock"
"2023-01-01",17
"2023-02-01",19
"2023-03-01",21
"2023-04-01",16
"2023-05-01",33
"2023-06-01",33
"2023-07-01",25
"2023-08-01",33
"2023-09-01",20
"2023-10-01",21
"2023-11-01",26
"2023-12-01",30
"2024-01-01",52
"2024-02-01",53
"2024-03-01",55
"2024-04-01",44
"2024-05-01",45
"2024-06-01",44
"2024-07-01",51
"2024-08-01",50
"2024-09-01",31
"2024-10-01",39
"2024-11-01",36
"2024-12-01",44
"2025-01-01",44
"2025-02-01",52
"2025-03-01",38
"2025-04-01",39
"2025-05-01",41
"2025-06-01",45
"2025-07-01",59
"2025-08-01",65
"2025-09-01",45
"2025-10-01",100
"2025-11-01",71
"2025-12-01",41