"Time","Tesla stock"
"2023-01-01",36
"2023-02-01",33
"2023-03-01",26
"2023-04-01",23
"2023-05-01",22
"2023-06-01",33
"2023-07-01",28
"2023-08-01",23
"2023-09-01",21
"2023-10-01",21
"2023-11-01",21
"2023-12-01",19
"2024-01-01",22
"2024-02-01",20
"2024-03-01",19
"2024-04-01",26
"2024-05-01",18
"2024-06-01",17
"2024-07-01",28
"2024-08-01",18
"2024-09-01",15
"2024-10-01",23
"2024-11-01",36
"2024-12-01",33
"2025-01-01",26
"2025-02-01",35
"2025-03-01",100
"2025-04-01",74
"2025-05-01",34
"2025-06-01",41
"2025-07-01",36
"2025-08-01",23
"2025-09-01",27
"2025-10-01",28
"2025-11-01",22
"2025-12-01",21